City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,28.53,66,0,1.79,US,1690295495
1,hami,42.8,93.45,32.64,10,0,6.69,CN,1690295738
2,west island,-12.1568,96.8225,24.99,73,40,8.23,CC,1690295667
3,yicheng,31.3705,119.8703,27.62,88,100,5.51,CN,1690295739
4,la passe,45.5549,-0.8967,24.13,56,11,7.94,FR,1690295739
5,chonchi,-42.6128,-73.8092,8.95,93,90,0.68,CL,1690295590
6,mayuge,0.4597,33.4803,24.51,52,99,4.19,UG,1690295739
7,mazar-e sharif,36.709,67.1109,37.51,11,1,2.87,AF,1690295739
8,zouerate,22.7187,-12.4521,40.71,10,1,5.32,MR,1690295740
9,waitangi,-43.9535,-176.5597,10.46,98,100,4.47,NZ,1690295646
10,ribeira grande,38.5167,-28.7,24.32,69,40,4.92,PT,1690295648
11,iqaluit,63.7506,-68.5145,7.85,76,75,3.09,CA,1690295581
12,grytviken,-54.2811,-36.5092,-1.75,82,29,5.06,GS,1690295642
13,scarborough,54.2797,-0.4044,15.51,83,72,1.34,GB,1690295488
14,aykhal,66.0,111.5,17.03,67,79,3.25,RU,1690295601
15,thompson,55.7435,-97.8558,16.09,77,20,2.57,CA,1690295741
16,edinburgh of the seven seas,-37.0676,-12.3116,12.46,80,100,12.15,SH,1690295650
17,margate,51.3813,1.3862,17.61,69,63,3.13,GB,1690295417
18,puerto ayora,-0.7393,-90.3518,26.98,93,60,3.58,EC,1690295648
19,invercargill,-46.4,168.35,5.94,79,99,5.41,NZ,1690295533
20,ji'an,27.1172,114.9793,27.51,84,100,1.0,CN,1690295178
21,tapa,59.2606,25.9586,14.74,99,100,1.48,EE,1690295743
22,yellowknife,62.456,-114.3525,20.31,60,100,6.17,CA,1690295462
23,punta arenas,-53.15,-70.9167,-3.27,92,15,3.07,CL,1690294935
24,aasiaat,68.7098,-52.8699,2.4,95,90,2.48,GL,1690295743
25,sulak,43.2734,47.5146,25.43,74,100,4.25,RU,1690295744
26,port lincoln,-34.7333,135.8667,11.87,81,0,3.68,AU,1690295744
27,olhao,37.0286,-7.8411,29.49,62,0,4.63,PT,1690295678
28,enewetak,11.3474,162.3373,28.27,78,68,7.11,MH,1690295744
29,inyonga,-6.7167,32.0667,29.15,23,6,2.57,TZ,1690295745
30,puerto natales,-51.7236,-72.4875,-3.13,78,38,1.44,CL,1690295641
31,adamstown,-25.066,-130.1015,22.08,87,91,13.43,PN,1690295649
32,rawson,-43.3002,-65.1023,8.62,60,97,12.89,AR,1690295209
33,gizo,-8.103,156.8419,26.78,84,100,7.72,SB,1690295746
34,katsuura,35.1333,140.3,25.12,92,98,3.61,JP,1690295746
35,port mathurin,-19.6833,63.4167,23.89,72,88,7.86,MU,1690295746
36,utrik,11.2278,169.8474,28.28,74,100,7.8,MH,1690295671
37,port-aux-francais,-49.35,70.2167,3.21,63,54,4.44,TF,1690295638
38,bredasdorp,-34.5322,20.0403,12.87,68,0,2.7,ZA,1690295685
39,kuqa,41.7278,82.9364,28.04,34,71,5.99,CN,1690295747
40,gokwe,-18.2048,28.9349,25.08,15,2,3.21,ZW,1690295748
41,albany,42.6001,-73.9662,26.56,71,59,0.45,US,1690295682
42,tiksi,71.6872,128.8694,3.32,85,48,2.43,RU,1690295661
43,arteche,12.2645,125.4048,26.71,77,100,5.91,PH,1690295748
44,mtambile,-5.3833,39.7,24.71,78,7,7.61,TZ,1690295748
45,atafu village,-8.5421,-172.5159,28.89,73,0,8.45,TK,1690295691
46,kidal,18.4411,1.4078,40.65,19,23,3.35,ML,1690295749
47,aljezur,37.3191,-8.8033,22.85,56,1,7.44,PT,1690295749
48,vadso,70.0744,29.7487,10.49,93,100,4.63,NO,1690295750
